EkeV          Fluxpos
  1.0411E+06  1.8870E-03
  1.0532E+06  1.8670E-03
  1.0654E+06  1.8469E-03
  1.0777E+06  1.8267E-03
  1.0902E+06  1.8064E-03
  1.1028E+06  1.7860E-03
  1.1156E+06  1.7655E-03
  1.1285E+06  1.7450E-03
  1.1416E+06  1.7244E-03
  1.1548E+06  1.7038E-03
  1.1682E+06  1.6831E-03
  1.1817E+06  1.6624E-03
  1.1954E+06  1.6417E-03
  1.2092E+06  1.6209E-03
  1.2232E+06  1.6001E-03
  1.2374E+06  1.5794E-03
  1.2517E+06  1.5586E-03
  1.2662E+06  1.5379E-03
  1.2809E+06  1.5172E-03
  1.2957E+06  1.4965E-03
  1.3107E+06  1.4758E-03
  1.3259E+06  1.4552E-03
  1.3412E+06  1.4346E-03
  1.3568E+06  1.4141E-03
  1.3725E+06  1.3936E-03
  1.3884E+06  1.3732E-03
  1.4044E+06  1.3529E-03
  1.4207E+06  1.3327E-03
  1.4371E+06  1.3125E-03
  1.4538E+06  1.2925E-03
  1.4706E+06  1.2725E-03
  1.4876E+06  1.2527E-03
  1.5049E+06  1.2329E-03
  1.5223E+06  1.2133E-03
  1.5399E+06  1.1938E-03
  1.5578E+06  1.1744E-03
  1.5758E+06  1.1552E-03
  1.5940E+06  1.1360E-03
  1.6125E+06  1.1171E-03
  1.6312E+06  1.0982E-03
  1.6501E+06  1.0795E-03
  1.6692E+06  1.0610E-03
  1.6885E+06  1.0426E-03
  1.7080E+06  1.0244E-03
  1.7278E+06  1.0063E-03
  1.7478E+06  9.8840E-04
  1.7681E+06  9.7066E-04
  1.7885E+06  9.5310E-04
  1.8093E+06  9.3572E-04
  1.8302E+06  9.1851E-04
  1.8514E+06  9.0148E-04
  1.8728E+06  8.8463E-04
  1.8945E+06  8.6796E-04
  1.9165E+06  8.5148E-04
  1.9387E+06  8.3519E-04
  1.9611E+06  8.1909E-04
  1.9838E+06  8.0318E-04
  2.0068E+06  7.8747E-04
  2.0300E+06  7.7194E-04
  2.0535E+06  7.5662E-04
  2.0773E+06  7.4149E-04
  2.1014E+06  7.2655E-04
  2.1257E+06  7.1182E-04
  2.1503E+06  6.9728E-04
  2.1752E+06  6.8294E-04
  2.2004E+06  6.6881E-04
  2.2259E+06  6.5487E-04
  2.2516E+06  6.4114E-04
  2.2777E+06  6.2760E-04
  2.3041E+06  6.1426E-04
  2.3308E+06  6.0113E-04
  2.3578E+06  5.8819E-04
  2.3851E+06  5.7546E-04
  2.4127E+06  5.6292E-04
  2.4406E+06  5.5058E-04
  2.4689E+06  5.3844E-04
  2.4975E+06  5.2650E-04
  2.5264E+06  5.1475E-04
  2.5556E+06  5.0320E-04
  2.5852E+06  4.9185E-04
  2.6152E+06  4.8068E-04
  2.6455E+06  4.6971E-04
  2.6761E+06  4.5893E-04
  2.7071E+06  4.4834E-04
  2.7384E+06  4.3794E-04
  2.7701E+06  4.2773E-04
  2.8022E+06  4.1770E-04
  2.8347E+06  4.0785E-04
  2.8675E+06  3.9819E-04
  2.9007E+06  3.8871E-04
  2.9343E+06  3.7941E-04
  2.9682E+06  3.7028E-04
  3.0026E+06  3.6133E-04
  3.0374E+06  3.5256E-04
  3.0726E+06  3.4395E-04
  3.1081E+06  3.3552E-04
  3.1441E+06  3.2725E-04
  3.1805E+06  3.1915E-04
  3.2174E+06  3.1122E-04
  3.2546E+06  3.0344E-04
  3.2923E+06  2.9583E-04
  3.3304E+06  2.8837E-04
  3.3690E+06  2.8107E-04
  3.4080E+06  2.7393E-04
  3.4475E+06  2.6693E-04
  3.4874E+06  2.6009E-04
  3.5278E+06  2.5339E-04
  3.5686E+06  2.4684E-04
  3.6099E+06  2.4043E-04
  3.6517E+06  2.3416E-04
  3.6940E+06  2.2803E-04
  3.7368E+06  2.2204E-04
  3.7801E+06  2.1618E-04
  3.8238E+06  2.1046E-04
  3.8681E+06  2.0486E-04
  3.9129E+06  1.9939E-04
  3.9582E+06  1.9405E-04
  4.0041E+06  1.8884E-04
  4.0504E+06  1.8374E-04
  4.0973E+06  1.7876E-04
  4.1448E+06  1.7390E-04
  4.1928E+06  1.6916E-04
  4.2413E+06  1.6453E-04
  4.2904E+06  1.6001E-04
  4.3401E+06  1.5560E-04
  4.3904E+06  1.5130E-04
  4.4412E+06  1.4710E-04
  4.4926E+06  1.4300E-04
  4.5446E+06  1.3901E-04
  4.5973E+06  1.3511E-04
  4.6505E+06  1.3132E-04
  4.7044E+06  1.2761E-04
  4.7588E+06  1.2400E-04
  4.8139E+06  1.2048E-04
  4.8697E+06  1.1705E-04
  4.9261E+06  1.1371E-04
  4.9831E+06  1.1046E-04
  5.0408E+06  1.0728E-04
  5.0992E+06  1.0419E-04
  5.1582E+06  1.0118E-04
  5.2180E+06  9.8251E-05
  5.2784E+06  9.5397E-05
  5.3395E+06  9.2617E-05
  5.4013E+06  8.9911E-05
  5.4639E+06  8.7277E-05
  5.5271E+06  8.4713E-05
  5.5911E+06  8.2218E-05
  5.6559E+06  7.9790E-05
  5.7214E+06  7.7427E-05
  5.7876E+06  7.5128E-05
  5.8546E+06  7.2892E-05
  5.9224E+06  7.0717E-05
  5.9910E+06  6.8602E-05
  6.0604E+06  6.6545E-05
  6.1306E+06  6.4544E-05
  6.2015E+06  6.2599E-05
  6.2734E+06  6.0708E-05
  6.3460E+06  5.8870E-05
  6.4195E+06  5.7083E-05
  6.4938E+06  5.5347E-05
  6.5690E+06  5.3659E-05
  6.6451E+06  5.2020E-05
  6.7220E+06  5.0426E-05
  6.7999E+06  4.8879E-05
  6.8786E+06  4.7375E-05
  6.9582E+06  4.5914E-05
  7.0388E+06  4.4496E-05
  7.1203E+06  4.3118E-05
  7.2028E+06  4.1780E-05
  7.2862E+06  4.0482E-05
  7.3706E+06  3.9220E-05
  7.4559E+06  3.7996E-05
  7.5422E+06  3.6808E-05
  7.6296E+06  3.5654E-05
  7.7179E+06  3.4534E-05
  7.8073E+06  3.3448E-05
  7.8977E+06  3.2393E-05
  7.9891E+06  3.1370E-05
  8.0816E+06  3.0378E-05
  8.1752E+06  2.9415E-05
  8.2699E+06  2.8481E-05
  8.3657E+06  2.7574E-05
  8.4625E+06  2.6696E-05
  8.5605E+06  2.5843E-05
  8.6596E+06  2.5017E-05
  8.7599E+06  2.4215E-05
  8.8614E+06  2.3438E-05
  8.9640E+06  2.2684E-05
  9.0678E+06  2.1954E-05
  9.1728E+06  2.1246E-05
  9.2790E+06  2.0559E-05
  9.3864E+06  1.9894E-05
  9.4951E+06  1.9249E-05
  9.6051E+06  1.8624E-05
  9.7163E+06  1.8018E-05
  9.8288E+06  1.7432E-05
  9.9426E+06  1.6863E-05
  1.0058E+07  1.6312E-05
  1.0174E+07  1.5779E-05
  1.0292E+07  1.5262E-05
  1.0411E+07  1.4761E-05
  1.0532E+07  1.4276E-05
  1.0654E+07  1.3806E-05
  1.0777E+07  1.3351E-05
  1.0902E+07  1.2911E-05
  1.1028E+07  1.2484E-05
  1.1156E+07  1.2071E-05
  1.1285E+07  1.1671E-05
  1.1416E+07  1.1284E-05
  1.1548E+07  1.0909E-05
  1.1682E+07  1.0546E-05
  1.1817E+07  1.0195E-05
  1.1954E+07  9.8548E-06
  1.2092E+07  9.5258E-06
  1.2232E+07  9.2073E-06
  1.2374E+07  8.8991E-06
