EkeV          Fluxele
  7.5422E+05  3.0190E-02
  7.6296E+05  3.0017E-02
  7.7179E+05  2.9839E-02
  7.8073E+05  2.9658E-02
  7.8977E+05  2.9472E-02
  7.9891E+05  2.9282E-02
  8.0816E+05  2.9089E-02
  8.1752E+05  2.8891E-02
  8.2699E+05  2.8690E-02
  8.3657E+05  2.8486E-02
  8.4625E+05  2.8278E-02
  8.5605E+05  2.8066E-02
  8.6596E+05  2.7851E-02
  8.7599E+05  2.7633E-02
  8.8614E+05  2.7412E-02
  8.9640E+05  2.7188E-02
  9.0678E+05  2.6961E-02
  9.1728E+05  2.6731E-02
  9.2790E+05  2.6499E-02
  9.3864E+05  2.6264E-02
  9.4951E+05  2.6026E-02
  9.6051E+05  2.5786E-02
  9.7163E+05  2.5544E-02
  9.8288E+05  2.5300E-02
  9.9426E+05  2.5053E-02
  1.0058E+06  2.4805E-02
  1.0174E+06  2.4555E-02
  1.0292E+06  2.4303E-02
  1.0411E+06  2.4050E-02
  1.0532E+06  2.3795E-02
  1.0654E+06  2.3538E-02
  1.0777E+06  2.3281E-02
  1.0902E+06  2.3022E-02
  1.1028E+06  2.2762E-02
  1.1156E+06  2.2502E-02
  1.1285E+06  2.2240E-02
  1.1416E+06  2.1978E-02
  1.1548E+06  2.1715E-02
  1.1682E+06  2.1451E-02
  1.1817E+06  2.1187E-02
  1.1954E+06  2.0923E-02
  1.2092E+06  2.0659E-02
  1.2232E+06  2.0394E-02
  1.2374E+06  2.0129E-02
  1.2517E+06  1.9865E-02
  1.2662E+06  1.9600E-02
  1.2809E+06  1.9336E-02
  1.2957E+06  1.9072E-02
  1.3107E+06  1.8809E-02
  1.3259E+06  1.8546E-02
  1.3412E+06  1.8284E-02
  1.3568E+06  1.8023E-02
  1.3725E+06  1.7762E-02
  1.3884E+06  1.7502E-02
  1.4044E+06  1.7243E-02
  1.4207E+06  1.6985E-02
  1.4371E+06  1.6728E-02
  1.4538E+06  1.6473E-02
  1.4706E+06  1.6218E-02
  1.4876E+06  1.5965E-02
  1.5049E+06  1.5714E-02
  1.5223E+06  1.5464E-02
  1.5399E+06  1.5215E-02
  1.5578E+06  1.4968E-02
  1.5758E+06  1.4723E-02
  1.5940E+06  1.4479E-02
  1.6125E+06  1.4237E-02
  1.6312E+06  1.3997E-02
  1.6501E+06  1.3759E-02
  1.6692E+06  1.3522E-02
  1.6885E+06  1.3288E-02
  1.7080E+06  1.3056E-02
  1.7278E+06  1.2825E-02
  1.7478E+06  1.2597E-02
  1.7681E+06  1.2371E-02
  1.7885E+06  1.2147E-02
  1.8093E+06  1.1926E-02
  1.8302E+06  1.1706E-02
